"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Jul 19 23:42:26 ACST 2023","Wed Jul 19 23:42:28 ACST 2023","2126","","Demo Test","","","","my first test",""
"passed","Wed Jul 19 22:20:47 ACST 2023","Wed Jul 19 22:20:52 ACST 2023","5364","","My Login application","","","","should login with valid credentials",""
